title,release_year,duration,calification,cast
Hasta el último hombre,2016,139,8.1,"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer']"
El gran hotel Budapest,2014,99,8.1,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric', 'Adrien Brody']"
12 años esclavo,2013,134,8.1,"['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender', 'Brad Pitt']"
Antes del amanecer,1995,101,8.1,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl']"
Blade Runner,1982,117,8.1,"['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos']"
Salinui chueok,2003,131,8.1,"['Song Kang-ho', 'Kim Sang-kyung', 'Kim Roe-ha', 'Song Jae-ho']"
Perdida,2014,149,8.1,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry']"
Ratatouille,2007,111,8.1,"['Brad Garrett', 'Lou Romano', 'Patton Oswalt', 'Ian Holm']"
Cómo entrenar a tu dragón,2010,98,8.1,"['Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse', 'Craig Ferguson']"
"Monsters, Inc.",2001,92,8.1,"['Billy Crystal', 'John Goodman', 'Mary Gibbs', 'Steve Buscemi']"
En el nombre del padre,1993,133,8.1,"['Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie', 'Philip King']"
Relatos salvajes,2014,122,8.1,"['Darío Grandinetti', 'María Marull', 'Mónica Villa', 'Diego Starosta']"
Tiburón,1975,124,8.1,"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss', 'Lorraine Gary']"
La quimera del oro,1925,95,8.1,"['Charles Chaplin', 'Mack Swain', 'Tom Murray', 'Henry Bergman']"
Sherlock Jr.,1924,45,8.2,"['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton', 'Erwin Connelly']"
Contra lo imposible,2019,152,8.1,"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitríona Balfe']"
Mary and Max,2009,92,8.1,"['Toni Collette', 'Philip Seymour Hoffman', 'Eric Bana', 'Barry Humphries']"
El francotirador,1978,183,8.1,"['Robert De Niro', 'Christopher Walken', 'John Cazale', 'John Savage']"
El salario del miedo,1953,156,8.1,"['Yves Montand', 'Charles Vanel', 'Peter van Eyck', 'Folco Lulli']"
La General,1926,78,8.1,"['Buster Keaton', 'Marion Mack', 'Glen Cavender', 'Jim Farley']"
Caballero sin espada,1939,129,8.1,"['James Stewart', 'Jean Arthur', 'Claude Rains', 'Edward Arnold']"
